Fold,Model,k,AUPRC,MCC,Threshold,PR_Curve,MCC_Curve,Ensemble
1,svm,5,0.8838290091037424,0.45551374794453126,0.29,"(array([1.        , 0.99666667, 0.99666667, 0.99666667, 0.99333333,
       0.99333333, 0.99333333, 0.99      , 0.99      , 0.99      ,
       0.99      , 0.98666667, 0.98666667, 0.98666667, 0.98666667,
       0.98666667, 0.98666667, 0.98333333, 0.98333333, 0.98      ,
       0.98      , 0.97666667, 0.97333333, 0.97333333, 0.97333333,
       0.97      , 0.96666667, 0.96333333, 0.96      , 0.95666667,
       0.95333333, 0.95      , 0.94666667, 0.94333333, 0.94      ,
       0.94      , 0.93666667, 0.93666667, 0.93333333, 0.93      ,
       0.92666667, 0.92333333, 0.92333333, 0.92      , 0.91666667,
       0.91666667, 0.91333333, 0.91333333, 0.91      , 0.91      ,
       0.90666667, 0.90333333, 0.9       , 0.9       , 0.89666667,
       0.89333333, 0.89333333, 0.89      , 0.88666667, 0.88333333,
       0.88      , 0.87666667, 0.87333333, 0.87333333, 0.87      ,
       0.85666667, 0.85333333, 0.85333333, 0.85      , 0.84666667,
       0.84666667, 0.84333333, 0.84      , 0.83666667, 0.83666667,
       0.83333333, 0.83333333, 0.83      , 0.82666667, 0.82333333,
       0.82      , 0.81666667, 0.81333333, 0.81      , 0.81      ,
       0.80666667, 0.80333333, 0.8       , 0.79666667, 0.79333333,
       0.79      , 0.78666667, 0.78333333, 0.78      , 0.77666667,
       0.77333333, 0.77333333, 0.77      , 0.76666667, 0.76333333,
       0.76      , 0.75666667, 0.75333333, 0.75      , 0.74666667,
       0.74333333, 0.74333333, 0.74      , 0.74      , 0.73666667,
       0.73333333, 0.73      , 0.72666667, 0.72666667, 0.72333333,
       0.72      , 0.71666667, 0.71333333, 0.71      , 0.70666667,
       0.70333333, 0.7       , 0.69666667, 0.69333333, 0.69      ,
       0.69      , 0.68666667, 0.68333333, 0.68      , 0.67666667,
       0.67333333, 0.67333333, 0.67      , 0.66666667, 0.66666667,
       0.66333333, 0.66      , 0.65666667, 0.65333333, 0.65      ,
       0.64666667, 0.64666667, 0.64333333, 0.64      , 0.63666667,
       0.63333333, 0.63333333, 0.63      , 0.62666667, 0.62333333,
       0.62      , 0.61666667, 0.61333333, 0.61      , 0.60666667,
       0.60333333, 0.6       , 0.59666667, 0.59333333, 0.59      ,
       0.59      , 0.58666667, 0.58333333, 0.58      , 0.57666667,
       0.57333333, 0.57      , 0.57      , 0.56666667, 0.56333333,
       0.56      , 0.55666667, 0.55333333, 0.55      , 0.55      ,
       0.54666667, 0.54333333, 0.54      , 0.53666667, 0.53333333,
       0.53      , 0.52666667, 0.52333333, 0.52      , 0.51666667,
       0.51333333, 0.51      , 0.50666667, 0.50333333, 0.5       ,
       0.49666667, 0.49333333, 0.49333333, 0.49      , 0.48666667,
       0.48666667, 0.48333333, 0.48      , 0.47666667, 0.47333333,
       0.47      , 0.46666667, 0.46333333, 0.46333333, 0.46      ,
       0.46      , 0.45666667, 0.45333333, 0.45      , 0.44666667,
       0.44333333, 0.44      , 0.44      , 0.43666667, 0.43333333,
       0.43      , 0.42666667, 0.42333333, 0.42      , 0.41666667,
       0.41333333, 0.41333333, 0.41      , 0.40666667, 0.40333333,
       0.4       , 0.39666667, 0.39333333, 0.39      , 0.38666667,
       0.38666667, 0.38333333, 0.38      , 0.37666667, 0.37333333,
       0.37      , 0.36666667, 0.36333333, 0.36      , 0.36      ,
       0.36      , 0.35666667, 0.35333333, 0.35      , 0.34666667,
       0.34333333, 0.34      , 0.33666667, 0.33333333, 0.33333333,
       0.33      , 0.32666667, 0.32333333, 0.32333333, 0.32      ,
       0.31666667, 0.31333333, 0.31      , 0.30666667, 0.30666667,
       0.30333333, 0.3       , 0.29666667, 0.29333333, 0.29      ,
       0.28666667, 0.28666667, 0.28333333, 0.28      , 0.27666667,
       0.27333333, 0.27      , 0.27      , 0.26666667, 0.26333333,
       0.26      , 0.25666667, 0.25333333, 0.25      , 0.24666667,
       0.24666667, 0.24333333, 0.24333333, 0.24      , 0.24      ,
       0.23666667, 0.23333333, 0.23      , 0.22666667, 0.22333333,
       0.22      , 0.21666667, 0.21666667, 0.21333333, 0.21      ,
       0.20666667, 0.20333333, 0.2       , 0.19666667, 0.19333333,
       0.19      , 0.18666667, 0.18333333, 0.18      , 0.18      ,
       0.17666667, 0.17333333, 0.17      , 0.16666667, 0.16333333,
       0.16      , 0.16      , 0.15666667, 0.15333333, 0.15      ,
       0.14666667, 0.14333333, 0.14      , 0.13666667, 0.13333333,
       0.13      , 0.12666667, 0.12333333, 0.12333333, 0.12      ,
       0.11666667, 0.11333333, 0.11      , 0.10666667, 0.10666667,
       0.10333333, 0.1       , 0.09666667, 0.09666667, 0.09333333,
       0.09      , 0.08666667, 0.08333333, 0.08      , 0.07666667,
       0.07333333, 0.07      , 0.06666667, 0.06333333, 0.06      ,
       0.05666667, 0.05333333, 0.05      , 0.04666667, 0.04333333,
       0.04      , 0.03666667, 0.03333333, 0.03333333, 0.03      ,
       0.02666667, 0.02333333, 0.02      , 0.01666667, 0.01333333,
       0.01      , 0.00666667, 0.00333333, 0.        ]), array([0.81967213, 0.81917808, 0.82142857, 0.82369146, 0.82320442,
       0.82548476, 0.82777778, 0.82729805, 0.82960894, 0.83193277,
       0.83426966, 0.83380282, 0.83615819, 0.83852691, 0.84090909,
       0.84330484, 0.84571429, 0.84527221, 0.84770115, 0.84726225,
       0.84971098, 0.84927536, 0.84883721, 0.85131195, 0.85380117,
       0.85337243, 0.85294118, 0.85250737, 0.85207101, 0.85163205,
       0.85119048, 0.85074627, 0.8502994 , 0.84984985, 0.84939759,
       0.85196375, 0.85151515, 0.85410334, 0.85365854, 0.85321101,
       0.85276074, 0.85230769, 0.85493827, 0.85448916, 0.85403727,
       0.85669782, 0.85625   , 0.85893417, 0.85849057, 0.86119874,
       0.86075949, 0.86031746, 0.85987261, 0.86261981, 0.86217949,
       0.86173633, 0.86451613, 0.86407767, 0.86363636, 0.86319218,
       0.8627451 , 0.86229508, 0.86184211, 0.86468647, 0.86423841,
       0.86241611, 0.86195286, 0.86486486, 0.86440678, 0.86394558,
       0.8668942 , 0.86643836, 0.86597938, 0.86551724, 0.86851211,
       0.86805556, 0.87108014, 0.87062937, 0.87017544, 0.86971831,
       0.86925795, 0.86879433, 0.8683274 , 0.86785714, 0.87096774,
       0.8705036 , 0.8700361 , 0.86956522, 0.86909091, 0.86861314,
       0.86813187, 0.86764706, 0.86715867, 0.86666667, 0.866171  ,
       0.86567164, 0.86891386, 0.86842105, 0.86792453, 0.86742424,
       0.86692015, 0.86641221, 0.86590038, 0.86538462, 0.86486486,
       0.86434109, 0.86770428, 0.8671875 , 0.87058824, 0.87007874,
       0.86956522, 0.86904762, 0.8685259 , 0.872     , 0.87148594,
       0.87096774, 0.87044534, 0.8699187 , 0.86938776, 0.86885246,
       0.86831276, 0.8677686 , 0.86721992, 0.86666667, 0.86610879,
       0.8697479 , 0.86919831, 0.86864407, 0.86808511, 0.86752137,
       0.86695279, 0.87068966, 0.87012987, 0.86956522, 0.87336245,
       0.87280702, 0.8722467 , 0.87168142, 0.87111111, 0.87053571,
       0.86995516, 0.87387387, 0.87330317, 0.87272727, 0.87214612,
       0.87155963, 0.87557604, 0.875     , 0.8744186 , 0.87383178,
       0.87323944, 0.87264151, 0.87203791, 0.87142857, 0.8708134 ,
       0.87019231, 0.86956522, 0.86893204, 0.86829268, 0.86764706,
       0.87192118, 0.87128713, 0.87064677, 0.87      , 0.86934673,
       0.86868687, 0.8680203 , 0.87244898, 0.87179487, 0.87113402,
       0.87046632, 0.86979167, 0.86910995, 0.86842105, 0.87301587,
       0.87234043, 0.87165775, 0.87096774, 0.87027027, 0.86956522,
       0.86885246, 0.86813187, 0.86740331, 0.86666667, 0.86592179,
       0.86516854, 0.86440678, 0.86363636, 0.86285714, 0.86206897,
       0.86127168, 0.86046512, 0.86549708, 0.86470588, 0.86390533,
       0.86904762, 0.86826347, 0.86746988, 0.86666667, 0.86585366,
       0.86503067, 0.86419753, 0.86335404, 0.86875   , 0.86792453,
       0.87341772, 0.87261146, 0.87179487, 0.87096774, 0.87012987,
       0.86928105, 0.86842105, 0.87417219, 0.87333333, 0.87248322,
       0.87162162, 0.8707483 , 0.86986301, 0.86896552, 0.86805556,
       0.86713287, 0.87323944, 0.87234043, 0.87142857, 0.8705036 ,
       0.86956522, 0.86861314, 0.86764706, 0.86666667, 0.86567164,
       0.87218045, 0.87121212, 0.87022901, 0.86923077, 0.86821705,
       0.8671875 , 0.86614173, 0.86507937, 0.864     , 0.87096774,
       0.87804878, 0.87704918, 0.87603306, 0.875     , 0.87394958,
       0.87288136, 0.87179487, 0.87068966, 0.86956522, 0.87719298,
       0.87610619, 0.875     , 0.87387387, 0.88181818, 0.88073394,
       0.87962963, 0.87850467, 0.87735849, 0.87619048, 0.88461538,
       0.88349515, 0.88235294, 0.88118812, 0.88      , 0.87878788,
       0.87755102, 0.88659794, 0.88541667, 0.88421053, 0.88297872,
       0.88172043, 0.88043478, 0.89010989, 0.88888889, 0.88764045,
       0.88636364, 0.88505747, 0.88372093, 0.88235294, 0.88095238,
       0.89156627, 0.8902439 , 0.90123457, 0.9       , 0.91139241,
       0.91025641, 0.90909091, 0.90789474, 0.90666667, 0.90540541,
       0.90410959, 0.90277778, 0.91549296, 0.91428571, 0.91304348,
       0.91176471, 0.91044776, 0.90909091, 0.90769231, 0.90625   ,
       0.9047619 , 0.90322581, 0.90163934, 0.9       , 0.91525424,
       0.9137931 , 0.9122807 , 0.91071429, 0.90909091, 0.90740741,
       0.90566038, 0.92307692, 0.92156863, 0.92      , 0.91836735,
       0.91666667, 0.91489362, 0.91304348, 0.91111111, 0.90909091,
       0.90697674, 0.9047619 , 0.90243902, 0.925     , 0.92307692,
       0.92105263, 0.91891892, 0.91666667, 0.91428571, 0.94117647,
       0.93939394, 0.9375    , 0.93548387, 0.96666667, 0.96551724,
       0.96428571, 0.96296296, 0.96153846, 0.96      , 0.95833333,
       0.95652174, 0.95454545, 0.95238095, 0.95      , 0.94736842,
       0.94444444, 0.94117647, 0.9375    , 0.93333333, 0.92857143,
       0.92307692, 0.91666667, 0.90909091, 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        ]))","(array([0.  , 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1 ,
       0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2 , 0.21,
       0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3 , 0.31, 0.32,
       0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4 , 0.41, 0.42, 0.43,
       0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5 , 0.51, 0.52, 0.53, 0.54,
       0.55, 0.56, 0.57, 0.58, 0.59, 0.6 , 0.61, 0.62, 0.63, 0.64, 0.65,
       0.66, 0.67, 0.68, 0.69, 0.7 , 0.71, 0.72, 0.73, 0.74, 0.75, 0.76,
       0.77, 0.78, 0.79, 0.8 , 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87,
       0.88, 0.89, 0.9 , 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98,
       0.99, 1.  ]), [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14303239192265577, 0.17541160386140583, 0.17541160386140583, 0.2028184785787092, 0.2693862292201827, 0.28837490036423624, 0.3062819459158444, 0.3395288140236335, 0.3342437649123033, 0.34736730689408946, 0.3771349483020226, 0.3614131528189732, 0.40376192216868684, 0.4034079077386506, 0.4548541609046879, 0.4425144641942297, 0.4432261229889956, 0.45551374794453126, 0.4444297318601275, 0.42879177553017345, 0.4196385292376709, 0.41076600653125367, 0.3856736832372605, 0.3856736832372605, 0.38239655472253103, 0.37491374299339136, 0.37978961293564706, 0.37978961293564706, 0.3633404005672231, 0.36886146565045214, 0.3743780636909448, 0.3739843105185773, 0.3681812370910349, 0.3624779185982881, 0.368279030663443, 0.35198210567432564, 0.34671830232041645, 0.35281826929743604, 0.347703503517995, 0.3231866712128216, 0.3296241480547985, 0.3360289850883613, 0.33142346029670716, 0.33334600357330135, 0.3353843957198842, 0.3140767221218796, 0.3140767221218796, 0.3046028412466178, 0.28151777126411015, 0.2847374314316606, 0.277417271072458, 0.2738011160198041, 0.2738011160198041, 0.27021327975316806, 0.25613143009247513, 0.2666878670610899, 0.2634825932069838, 0.26388380606555933, 0.2540089212989959, 0.24202971644340449, 0.23385207678622097, 0.23812677521939646, 0.22913355344576952, 0.23057594218528568, 0.22471851756880293, 0.20639315427434823, 0.20358231649999356, 0.2027511263246258, 0.19172229638737118, 0.18574221997200174, 0.1826906064084747, 0.1693744417174734, 0.1508634566489205, 0.16402631009625623, 0.16445549622609118, 0.15928394108842284, 0.15197665313100925, 0.14998118066838628, 0.13188627086872282, 0.1274185310590042, 0.12404498666465591, 0.12531935293907823, 0.1315587028960544, 0.1447909647524428, 0.11415112331907758, 0.09376543284750793, 0.11275037884190936, 0.06475761258027334, 0.0])","[{'model': 'svm', 'k': 5, 'params': {'C': 1.0, 'gamma': 0.05}}]"
2,svm,5,0.8779410589188673,0.41574540556890294,0.4,"(array([1.        , 0.99621212, 0.99242424, 0.99242424, 0.99242424,
       0.99242424, 0.99242424, 0.99242424, 0.98863636, 0.98863636,
       0.98484848, 0.98106061, 0.97727273, 0.97727273, 0.97727273,
       0.97727273, 0.97727273, 0.97727273, 0.97727273, 0.97727273,
       0.97348485, 0.97348485, 0.97348485, 0.97348485, 0.96969697,
       0.96969697, 0.96969697, 0.96590909, 0.96590909, 0.96590909,
       0.96212121, 0.96212121, 0.96212121, 0.96212121, 0.96212121,
       0.96212121, 0.96212121, 0.96212121, 0.96212121, 0.95833333,
       0.95833333, 0.95454545, 0.95454545, 0.95454545, 0.95075758,
       0.95075758, 0.95075758, 0.95075758, 0.95075758, 0.95075758,
       0.9469697 , 0.9469697 , 0.9469697 , 0.94318182, 0.93939394,
       0.93560606, 0.93560606, 0.93181818, 0.9280303 , 0.92424242,
       0.92424242, 0.92424242, 0.92424242, 0.92045455, 0.91666667,
       0.91287879, 0.90909091, 0.90530303, 0.90151515, 0.90151515,
       0.89772727, 0.89393939, 0.89015152, 0.89015152, 0.88636364,
       0.88636364, 0.88257576, 0.88257576, 0.87878788, 0.875     ,
       0.87121212, 0.87121212, 0.86742424, 0.86363636, 0.86363636,
       0.85984848, 0.85606061, 0.85606061, 0.85227273, 0.84848485,
       0.84469697, 0.84090909, 0.83712121, 0.83333333, 0.82954545,
       0.82575758, 0.8219697 , 0.81818182, 0.81439394, 0.81060606,
       0.81060606, 0.80681818, 0.80681818, 0.80681818, 0.80681818,
       0.8030303 , 0.8030303 , 0.79924242, 0.79545455, 0.79166667,
       0.78787879, 0.78787879, 0.78409091, 0.78409091, 0.78030303,
       0.77651515, 0.77272727, 0.76515152, 0.76136364, 0.75757576,
       0.75378788, 0.75      , 0.75      , 0.75      , 0.74621212,
       0.74621212, 0.74621212, 0.74242424, 0.73863636, 0.73863636,
       0.73863636, 0.73863636, 0.73484848, 0.73484848, 0.73484848,
       0.73484848, 0.73484848, 0.73106061, 0.73106061, 0.72727273,
       0.72348485, 0.71969697, 0.71590909, 0.71212121, 0.70833333,
       0.70454545, 0.70075758, 0.70075758, 0.70075758, 0.6969697 ,
       0.69318182, 0.68939394, 0.68560606, 0.68181818, 0.6780303 ,
       0.6780303 , 0.67424242, 0.67045455, 0.66666667, 0.66666667,
       0.66287879, 0.65909091, 0.65530303, 0.65530303, 0.65151515,
       0.64772727, 0.64772727, 0.64393939, 0.64015152, 0.63636364,
       0.63257576, 0.62878788, 0.625     , 0.62121212, 0.61742424,
       0.61363636, 0.60984848, 0.60606061, 0.60606061, 0.60227273,
       0.60227273, 0.59848485, 0.59469697, 0.59090909, 0.58712121,
       0.58333333, 0.57954545, 0.57575758, 0.5719697 , 0.5719697 ,
       0.5719697 , 0.56818182, 0.56818182, 0.56818182, 0.56439394,
       0.56060606, 0.55681818, 0.5530303 , 0.54924242, 0.54924242,
       0.54545455, 0.54545455, 0.54545455, 0.54166667, 0.53787879,
       0.53409091, 0.53030303, 0.53030303, 0.53030303, 0.52651515,
       0.52272727, 0.52272727, 0.52272727, 0.51893939, 0.51893939,
       0.51515152, 0.51136364, 0.50757576, 0.50378788, 0.5       ,
       0.49621212, 0.49242424, 0.48863636, 0.48863636, 0.48484848,
       0.48106061, 0.48106061, 0.47727273, 0.47348485, 0.47348485,
       0.47348485, 0.46969697, 0.46969697, 0.46590909, 0.46212121,
       0.45833333, 0.45454545, 0.45075758, 0.4469697 , 0.44318182,
       0.43939394, 0.43560606, 0.43181818, 0.4280303 , 0.4280303 ,
       0.42424242, 0.42045455, 0.41666667, 0.41666667, 0.41287879,
       0.40909091, 0.40530303, 0.40151515, 0.40151515, 0.39772727,
       0.39772727, 0.39772727, 0.39393939, 0.39015152, 0.38636364,
       0.38257576, 0.37878788, 0.375     , 0.37121212, 0.36742424,
       0.36363636, 0.35984848, 0.35606061, 0.35227273, 0.34848485,
       0.34469697, 0.34090909, 0.33712121, 0.33712121, 0.33333333,
       0.32954545, 0.32954545, 0.32575758, 0.32575758, 0.3219697 ,
       0.31818182, 0.31818182, 0.31818182, 0.31439394, 0.31060606,
       0.30681818, 0.3030303 , 0.3030303 , 0.29924242, 0.29545455,
       0.29166667, 0.28787879, 0.28409091, 0.28030303, 0.27651515,
       0.27272727, 0.26893939, 0.26515152, 0.26136364, 0.25757576,
       0.25378788, 0.25378788, 0.25      , 0.24621212, 0.24242424,
       0.24242424, 0.23863636, 0.23484848, 0.23106061, 0.22727273,
       0.22348485, 0.22348485, 0.21969697, 0.21590909, 0.21212121,
       0.20833333, 0.20454545, 0.20075758, 0.1969697 , 0.19318182,
       0.18939394, 0.18560606, 0.18181818, 0.1780303 , 0.17424242,
       0.17045455, 0.16666667, 0.16287879, 0.15909091, 0.15530303,
       0.15530303, 0.15151515, 0.14772727, 0.14393939, 0.14015152,
       0.13636364, 0.13257576, 0.12878788, 0.125     , 0.12121212,
       0.11742424, 0.11363636, 0.10984848, 0.10606061, 0.10227273,
       0.09848485, 0.09469697, 0.09090909, 0.08712121, 0.08333333,
       0.07954545, 0.07575758, 0.0719697 , 0.06818182, 0.06439394,
       0.06060606, 0.05681818, 0.0530303 , 0.04924242, 0.04545455,
       0.04166667, 0.03787879, 0.03409091, 0.03030303, 0.02651515,
       0.02272727, 0.01893939, 0.01515152, 0.01136364, 0.00757576,
       0.00378788, 0.        ]), array([0.70967742, 0.70889488, 0.70810811, 0.7100271 , 0.71195652,
       0.71389646, 0.71584699, 0.71780822, 0.71703297, 0.71900826,
       0.71823204, 0.71745152, 0.71666667, 0.71866295, 0.72067039,
       0.72268908, 0.7247191 , 0.72676056, 0.72881356, 0.73087819,
       0.73011364, 0.73219373, 0.73428571, 0.73638968, 0.73563218,
       0.73775216, 0.73988439, 0.73913043, 0.74127907, 0.74344023,
       0.74269006, 0.74486804, 0.74705882, 0.74926254, 0.75147929,
       0.7537092 , 0.75595238, 0.75820896, 0.76047904, 0.75975976,
       0.76204819, 0.76132931, 0.76363636, 0.76595745, 0.7652439 ,
       0.7675841 , 0.76993865, 0.77230769, 0.77469136, 0.77708978,
       0.77639752, 0.7788162 , 0.78125   , 0.78056426, 0.77987421,
       0.77917981, 0.78164557, 0.78095238, 0.78025478, 0.77955272,
       0.78205128, 0.78456592, 0.78709677, 0.78640777, 0.78571429,
       0.78501629, 0.78431373, 0.78360656, 0.78289474, 0.78547855,
       0.78476821, 0.78405316, 0.78333333, 0.78595318, 0.7852349 ,
       0.78787879, 0.78716216, 0.78983051, 0.78911565, 0.7883959 ,
       0.78767123, 0.79037801, 0.78965517, 0.78892734, 0.79166667,
       0.79094077, 0.79020979, 0.79298246, 0.79225352, 0.79151943,
       0.79078014, 0.79003559, 0.78928571, 0.78853047, 0.78776978,
       0.78700361, 0.78623188, 0.78545455, 0.78467153, 0.78388278,
       0.78676471, 0.78597786, 0.78888889, 0.79182156, 0.79477612,
       0.79400749, 0.79699248, 0.79622642, 0.79545455, 0.79467681,
       0.79389313, 0.79693487, 0.79615385, 0.7992278 , 0.79844961,
       0.79766537, 0.796875  , 0.79527559, 0.7944664 , 0.79365079,
       0.79282869, 0.792     , 0.79518072, 0.7983871 , 0.79757085,
       0.80081301, 0.80408163, 0.80327869, 0.80246914, 0.80578512,
       0.80912863, 0.8125    , 0.81171548, 0.81512605, 0.8185654 ,
       0.8220339 , 0.82553191, 0.82478632, 0.82832618, 0.82758621,
       0.82683983, 0.82608696, 0.82532751, 0.8245614 , 0.82378855,
       0.82300885, 0.82222222, 0.82589286, 0.82959641, 0.82882883,
       0.8280543 , 0.82727273, 0.82648402, 0.82568807, 0.82488479,
       0.8287037 , 0.82790698, 0.8271028 , 0.82629108, 0.83018868,
       0.82938389, 0.82857143, 0.8277512 , 0.83173077, 0.83091787,
       0.83009709, 0.83414634, 0.83333333, 0.83251232, 0.83168317,
       0.83084577, 0.83      , 0.82914573, 0.82828283, 0.82741117,
       0.82653061, 0.82564103, 0.82474227, 0.82901554, 0.828125  ,
       0.83246073, 0.83157895, 0.83068783, 0.82978723, 0.82887701,
       0.82795699, 0.82702703, 0.82608696, 0.82513661, 0.82967033,
       0.83425414, 0.83333333, 0.83798883, 0.84269663, 0.84180791,
       0.84090909, 0.84      , 0.83908046, 0.83815029, 0.84302326,
       0.84210526, 0.84705882, 0.85207101, 0.85119048, 0.8502994 ,
       0.84939759, 0.84848485, 0.85365854, 0.85889571, 0.85802469,
       0.85714286, 0.8625    , 0.86792453, 0.86708861, 0.87261146,
       0.87179487, 0.87096774, 0.87012987, 0.86928105, 0.86842105,
       0.86754967, 0.86666667, 0.86577181, 0.87162162, 0.8707483 ,
       0.86986301, 0.87586207, 0.875     , 0.87412587, 0.88028169,
       0.88652482, 0.88571429, 0.89208633, 0.89130435, 0.89051095,
       0.88970588, 0.88888889, 0.8880597 , 0.88721805, 0.88636364,
       0.88549618, 0.88461538, 0.88372093, 0.8828125 , 0.88976378,
       0.88888889, 0.888     , 0.88709677, 0.89430894, 0.89344262,
       0.89256198, 0.89166667, 0.8907563 , 0.89830508, 0.8974359 ,
       0.90517241, 0.91304348, 0.9122807 , 0.91150442, 0.91071429,
       0.90990991, 0.90909091, 0.90825688, 0.90740741, 0.90654206,
       0.90566038, 0.9047619 , 0.90384615, 0.90291262, 0.90196078,
       0.9009901 , 0.9       , 0.8989899 , 0.90816327, 0.90721649,
       0.90625   , 0.91578947, 0.91489362, 0.92473118, 0.92391304,
       0.92307692, 0.93333333, 0.94382022, 0.94318182, 0.94252874,
       0.94186047, 0.94117647, 0.95238095, 0.95180723, 0.95121951,
       0.95061728, 0.95      , 0.94936709, 0.94871795, 0.94805195,
       0.94736842, 0.94666667, 0.94594595, 0.94520548, 0.94444444,
       0.94366197, 0.95714286, 0.95652174, 0.95588235, 0.95522388,
       0.96969697, 0.96923077, 0.96875   , 0.96825397, 0.96774194,
       0.96721311, 0.98333333, 0.98305085, 0.98275862, 0.98245614,
       0.98214286, 0.98181818, 0.98148148, 0.98113208, 0.98076923,
       0.98039216, 0.98      , 0.97959184, 0.97916667, 0.9787234 ,
       0.97826087, 0.97777778, 0.97727273, 0.97674419, 0.97619048,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        ]))","(array([0.  , 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1 ,
       0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2 , 0.21,
       0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3 , 0.31, 0.32,
       0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4 , 0.41, 0.42, 0.43,
       0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5 , 0.51, 0.52, 0.53, 0.54,
       0.55, 0.56, 0.57, 0.58, 0.59, 0.6 , 0.61, 0.62, 0.63, 0.64, 0.65,
       0.66, 0.67, 0.68, 0.69, 0.7 , 0.71, 0.72, 0.73, 0.74, 0.75, 0.76,
       0.77, 0.78, 0.79, 0.8 , 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87,
       0.88, 0.89, 0.9 , 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98,
       0.99, 1.  ]), [0.0, 0.0, 0.0, 0.0, 0.11098661682987525, 0.13611140947574413, 0.13611140947574413, 0.1662750054841909, 0.1620414749620877, 0.2097933648656279, 0.20540973367340512, 0.19116425823922725, 0.19116425823922725, 0.19179545636500003, 0.23057516788462287, 0.2541523797568021, 0.2541523797568021, 0.2763505332451529, 0.27620832913279364, 0.2867805730399073, 0.2970940098678804, 0.3071345116416953, 0.3071345116416953, 0.29735889386440406, 0.3170540633194219, 0.3266589290644628, 0.3266589290644628, 0.33611427602183314, 0.33611427602183314, 0.36366339172367473, 0.3636193905259036, 0.3725005849418625, 0.3725005849418625, 0.3725005849418625, 0.3725005849418625, 0.3726309830110514, 0.3729654615377386, 0.3729654615377386, 0.38163901057977634, 0.4154373958943403, 0.41574540556890294, 0.41574540556890294, 0.40862772570877887, 0.401177603816444, 0.3949925450703733, 0.3879609345674443, 0.3879609345674443, 0.39623187512582525, 0.4044377705659889, 0.4044377705659889, 0.4125812104577181, 0.3990119375605064, 0.38586041963298984, 0.3794322061410056, 0.37309783323771073, 0.3750802157067057, 0.36893875323087755, 0.36288078245419325, 0.365116399561122, 0.3732773006274214, 0.37552615104574444, 0.36973693332326785, 0.3640183029853525, 0.3664783393033303, 0.36090435782613184, 0.36347933212272576, 0.36347933212272576, 0.35803967786641416, 0.3501466123385835, 0.3397885061055803, 0.33468660420587476, 0.32463011469926856, 0.30507007440289624, 0.30364177370160167, 0.3230470545463326, 0.32177033492822965, 0.31719822927639524, 0.3126607995585306, 0.31077599198378464, 0.30206531415905485, 0.2849832635898392, 0.3045925444719046, 0.31208177220316424, 0.32372000431609677, 0.3394185475294688, 0.35078539676203035, 0.34284981218323984, 0.3275011212524721, 0.3240510389160035, 0.31657919538924023, 0.3183143712392971, 0.2896940736209102, 0.2812763656133088, 0.29319777020629173, 0.29442465378348576, 0.2979064679071758, 0.3027433499633216, 0.3031059612234299, 0.2788390147957219, 0.25698343315891614, 0.0])","[{'model': 'svm', 'k': 5, 'params': {'C': 1.0, 'gamma': 0.05}}]"
