Model,Accuracy,Sensitivity,Specificity,Precision,F1,AUC
LogisticRegression_ElasticNet,0.7860130718954248,0.8154685659435339,0.6968498168498168,0.8874036845507434,0.8497501237567381,0.8339319205694901
RandomForest,0.8085751633986928,0.9566850217171142,0.3691737891737891,0.8188587117896532,0.8818350480283035,0.8419923291656282
